alternative_names,classification,first_name,frequency_female,frequency_male,frequency_total,frequency_group,group_name,ratio,
AAN|AHN|AN|HAN,F,ANN,161,,161,268,ANN,1.0,3
ANEI|ANEIR|ANEY|ANI|ANIR|ANNEY|ANNI|ANNY|HANEY|HANI|HANNI|HANNY|HANY,F,ANY,5078,38,5116,23426,ANNY,0.9925723221266615,3
AO|HAO,M,AOR,,40,40,40,AOR,1.0,3
HARA,F,ARA,206,53,259,345,ARA,0.7953667953667953,3
ARIR|ARRI|ARRY|ARY|HARI|HARRI|HARRY|HARY,M,ARI,236,43368,43604,52741,ARI,0.9945876525089441,3
ARI|ARIR|ARRI|ARRY|HARI|HARRI|HARRY|HARY,M,ARY,68,6517,6585,52741,ARI,0.9896735003796507,3
,F,ASA,20,,20,20,ASA,1.0,3
,F,ATA,26,25,51,51,ATA,0.5098039215686274,3
ATIR,F,ATI,30,,30,60,ATI,1.0,3
,M,AUA,,22,22,22,AUA,1.0,3
HAVA,F,AVA,385,,385,429,AVA,1.0,3
HAVI,M,AVI,,29,29,78,HAVI,1.0,3
ASHA,F,AXA,38,,38,38,AXA,1.0,3
ASSUEL|AXEL|AXIEL|AXIL,M,AXL,,110,110,1909,AXEL,1.0,3
AIA|HAIA|HAYA,F,AYA,182,,182,291,AYA,1.0,3
AHIR|AI|AIR|HAI|HAIR|HAY|IA|IAR|YA,M,AYR,46,136,182,1577,AIR,0.7472527472527473,3
ASI|ASIR|AZEIR|AZIR|AZUIR,F,AZI,24,,24,500,AZIR,1.0,3
BAL|BIEL|BIL|DAEL|DAHIL|DAIL|DAL|DEIL|DEL|DEUEL|DIEL|DIL|DOEL|DUIL,F,BEL,225,139,364,2348,DIEL,0.6181318681318682,3
BEN|DEN,M,BEM,116,148,264,1407,BEN,0.5606060606060606,3
BEM|DEN,M,BEN,,1122,1122,1407,BEN,1.0,3
,M,BEP,,243,243,243,BEP,1.0,3
DAHIR|DAI|DAIR|DAY|DAYR|DIA,F,BIA,2293,48,2341,5532,DAIR,0.9794959419051688,3
BAL|BEL|BIEL|DAEL|DAHIL|DAIL|DAL|DEIL|DEL|DEUEL|DIEL|DIL|DOEL|DUIL,M,BIL,,214,214,2348,DIEL,1.0,3
,M,BOB,,220,220,220,BOB,1.0,3
DHOM|DHON|DOM|DON|DYON,M,BOM,21,42,63,1192,DHON,0.6666666666666666,3
CAHE|CE|KAE|KAER|KAHE|KE,M,CAE,,174,174,516,KAE,1.0,3
CAEL|CAIL|CEIL|CIEL|CIL|CL|KAEL|KAIL|KAL|KAUAL|KAUEL|KAUL|KEL|KHAEL|KIEL|KIL,M,CAL,,69,69,1839,KAEL,1.0,3
,F,CEA,23,,23,23,CEA,1.0,3
CAEU|KAEU|KEU,F,CEU,39,,39,152,KAEU,1.0,3
SHI|SHIH,M,CHI,30,46,76,139,CHI,0.6052631578947368,3
CHOU|SHU|XU,M,CHU,34,56,90,228,CHU,0.6222222222222222,3
CAI|CAII|CAUI|KAI|KAUEI|KAUI|KAY,F,CIA,22,,22,510,CAI,1.0,3
CYD|KEID|KID,M,CID,59,3376,3435,3620,CID,0.9828238719068413,3
CAEL|CAIL|CAL|CEIL|CIEL|CL|KAEL|KAIL|KAL|KAUAL|KAUEL|KAUL|KEL|KHAEL|KIEL|KIL,M,CIL,,41,41,1839,KAEL,1.0,3
CO|KO|KUO|KYO,F,COR,76,62,138,249,COR,0.5507246376811594,3
CID|KEID|KID,M,CYD,,30,30,3620,CID,1.0,3
BE|DAHER|DE,M,DAE,,36,36,101,DAHER,1.0,3
,M,DAG,,27,27,27,DAG,1.0,3
BIA|DAHIR|DAIR|DAY|DAYR|DIA,M,DAI,55,145,200,5532,DAIR,0.725,3
BAL|BEL|BIEL|BIL|DAEL|DAHIL|DAIL|DEIL|DEL|DEUEL|DIEL|DIL|DOEL|DUIL,M,DAL,,50,50,2348,DIEL,1.0,3
DAN|DANN|DHAN,M,DAM,,88,88,1268,DAN,1.0,3
DAM|DANN|DHAN,M,DAN,41,1090,1131,1268,DAN,0.9637488947833776,3
,M,DAO,,140,140,140,DAO,1.0,3
,F,DAS,834,98,932,932,DAS,0.8948497854077253,3
BAU,M,DAU,,26,26,50,DAU,1.0,3
,M,DAX,,46,46,46,DAX,1.0,3
BIA|DAHIR|DAI|DAIR|DAYR|DIA,F,DAY,30,,30,5532,DAIR,1.0,3
BEA,F,DEA,1792,,1792,1813,DEA,1.0,3
BI|DEIR|DEY|DI|DIR,M,DEI,32,66,98,747,DEIR,0.673469387755102,3
BAL|BEL|BIEL|BIL|DAEL|DAHIL|DAIL|DAL|DEIL|DEUEL|DIEL|DIL|DOEL|DUIL,M,DEL,68,310,378,2348,DIEL,0.8201058201058201,3
BEM|BEN,M,DEN,,21,21,1407,BEN,1.0,3
,M,DEO,,199,199,199,DEO,1.0,3
BEHUR,M,DEU,,44,44,78,DEU,1.0,3
BI|DEI|DEIR|DI|DIR,M,DEY,21,26,47,747,DEIR,0.5531914893617021,3
BIA|DAHIR|DAI|DAIR|DAY|DAYR,F,DIA,25,,25,5532,DAIR,1.0,3
DEIB|DEID|DEIID,M,DIB,,88,88,246,DIB,1.0,3
BIER|DIER,M,DIE,,30,30,82,DIER,1.0,3
DEIK,M,DIK,,22,22,46,DEIK,1.0,3
BAL|BEL|BIEL|BIL|DAEL|DAHIL|DAIL|DAL|DEIL|DEL|DEUEL|DIEL|DOEL|DUIL,M,DIL,29,124,153,2348,DIEL,0.8104575163398693,3
BIN|DIN,M,DIM,,55,55,77,DIM,1.0,3
BIO|DIOR,M,DIO,,131,131,299,DIO,1.0,3
BOM|DHOM|DHON|DON|DYON,M,DOM,,335,335,1192,DHON,1.0,3
BOM|DHOM|DHON|DOM|DYON,M,DON,,209,209,1192,DHON,1.0,3
,F,DOS,916,852,1768,1768,DOS,0.5180995475113123,3
AEDA|EDA|EDAR|HEDA,F,EBA,31,,31,3530,EDA,1.0,3
AEDE|AEDER|EBER|EDE|EDER|EDHER|HEBE|HEBER|HEDE|HEDER,F,EBE,322,50,372,89474,EDER,0.8655913978494624,3
AEDI|AEDIR|EBY|EDEI|EDEIR|EDI|EDIR|EDUI|EDUIR|EDY|EDYR|HEBI|HEBY|HEDI|HEDIR|HEDY,F,EBI,84,27,111,33233,EDI,0.7567567567567568,3
,F,ECA,27,,27,27,ECA,1.0,3
ECIR|ECY|ECYR,F,ECI,443,120,563,1099,ECI,0.7868561278863233,3
ECI|ECIR|ECYR,F,ECY,270,57,327,1099,ECI,0.8256880733944955,3
AEDA|EBA|EDAR|HEDA,F,EDA,2936,52,2988,3530,EDA,0.9825970548862115,3
AEDE|AEDER|EBE|EBER|EDER|EDHER|HEBE|HEBER|HEDE|HEDER,M,EDE,408,906,1314,89474,EDER,0.6894977168949772,3
AEDI|AEDIR|EBI|EBY|EDEI|EDEIR|EDIR|EDUI|EDUIR|EDY|EDYR|HEBI|HEBY|HEDI|HEDIR|HEDY,F,EDI,9064,5542,14606,33233,EDI,0.620566890319047,3
AEDO|EDOR|EDYO|HEDO,M,EDO,,507,507,695,EDO,1.0,3
,M,EDU,30,2620,2650,2650,EDU,0.9886792452830189,3
AEDI|AEDIR|EBI|EBY|EDEI|EDEIR|EDI|EDIR|EDUI|EDUIR|EDYR|HEBI|HEBY|HEDI|HEDIR|HEDY,F,EDY,1597,1341,2938,33233,EDI,0.54356705241661,3
,F,EFA,22,,22,22,EFA,1.0,3
EGOR|HEGO,M,EGO,,270,270,339,EGO,1.0,3
HEID|HEYD|IB|ID,F,EID,105,80,185,386,EID,0.5675675675675675,3
AILA|AILHA|AIULA|ALA|ALAA|ALAR|ALHA|AULA|AYALA|AYLA|EILA|ELAR|ELHA|EOLA|EULA|EULAR|EYLA|HAILA|HALA|HAYALA|HAYLA|HEILA|HELA|HELHA|HEULA|HEYLA|HIALA|HILA|HIULA|HUILHA|HYLA|IAILA|IALA|IELA|ILA|ILAR|ILHA|IOLA|IOLAR|IULA|LA|LAR|OLA|OLAR|UAILA|UALA|UEILA|UILA|UILHA|ULA|YALA|YLA|YOLA|YULA,F,ELA,201,,201,23950,AILA,1.0,3
AELE|AILE|ALAER|ALE|ALER|AULER|AYLE|EILER|ELER|EULE|EULER|EULHER|HAILE|HALE|HEILER|HELE|HELER|HEULER|HIALE|HILER|HULE|IALE|IELE|ILE|ILER|IOLE|IULE|LAE|LAER|LE|OLE|UELE|UELER|UEULER|UILE|UILER|ULE|YALE|YOLE|YULE,F,ELE,231,51,282,12371,EULER,0.8191489361702128,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,M,ELI,18046,26035,44081,70523,ELI,0.5906172727478959,3
HELK|ILK|UILK,F,ELK,113,43,156,243,ELK,0.7243589743589743,3
AILO|AILOR|ALO|ALOR|AULO|ELHO|ELOH|ELOR|EOLO|EULO|HELHO|HELO|HELUO|HILO|IALO|ILHO|ILO|ILOR|IULO|LO|LOR|LUO|OAULO|UELHO|UILO|ULO|YULO,M,ELO,93,226,319,4873,ELHO,0.7084639498432602,3
ALU|LOU|LU,M,ELU,,22,22,102,LOU,1.0,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,M,ELY,2837,3066,5903,70523,ELI,0.519396916821955,3
AEMAR|EMAR|EMMA|HEMA,F,EMA,4339,,4339,5530,EMA,1.0,3
EMER|EMME|HEMER,F,EME,150,28,178,305,EME,0.8426966292134831,3
AEMIR|EMIR|EMIY|EMMI|EMMY|EMY|EMYR|HEMI,F,EMI,1072,171,1243,4389,EMIR,0.8624296057924377,3
,M,EMO,,52,52,52,EMO,1.0,3
AEMIR|EMI|EMIR|EMIY|EMMI|EMMY|EMYR|HEMI,F,EMY,602,54,656,4389,EMIR,0.9176829268292683,3
ENAR|ENNA|HENA|HENNA,F,ENA,867,49,916,1305,ENA,0.9465065502183406,3
HEND,F,END,60,35,95,124,END,0.631578947368421,3
AENE|ENAE|ENER|ENNE|ENNER|HENE|HENER|HENNE|HENNER,F,ENE,373,121,494,1088,ENE,0.7550607287449392,3
ENEI|ENEIR|ENEY|ENIR|ENIY|ENNI|ENNY|ENY|ENYR|HENI|HENIR|HENNY|HENY,F,ENI,21514,897,22411,33878,ENI,0.9599750122707599,3
AENOR|ENHO|ENNO|ENOR|ENYO|HENO|HENOR|HENYO,M,ENO,,876,876,1542,ENO,1.0,3
ENEI|ENEIR|ENEY|ENI|ENIR|ENIY|ENNI|ENNY|ENYR|HENI|HENIR|HENNY|HENY,F,ENY,3872,133,4005,33878,ENI,0.9667915106117353,3
HERA,F,ERA,66,,66,66,ERA,1.0,3
,M,ERB,,38,38,38,ERB,1.0,3
,M,ERE,,44,44,44,ERE,1.0,3
ERY|HERI|HERRI|HERRY|HERY,M,ERI,319,1612,1931,2610,ERI,0.8348006214396686,3
ERC,M,ERK,,75,75,182,ERC,1.0,3
HERO,M,ERO,,67,67,119,ERO,1.0,3
ERI|HERI|HERRI|HERRY|HERY,M,ERY,76,240,316,2610,ERI,0.759493670886076,3
EZA,F,ESA,26,,26,187,EZA,1.0,3
ESIR|ESY|EZEIR|EZI|EZIR|EZY|HEZIR,F,ESI,63,28,91,963,EZIR,0.6923076923076923,3
,F,ETA,50,,50,50,ETA,1.0,3
AETE|ETER|ETHER|HETE,F,ETE,43,,43,264,ETER,1.0,3
HETH,F,ETH,37,,37,37,ETH,1.0,3
ETY|HETI,F,ETI,71,42,113,172,ETI,0.6283185840707964,3
ETI|HETI,F,ETY,32,,32,172,ETI,1.0,3
,M,EUD,,32,32,32,EUD,1.0,3
,F,EUN,136,,136,136,EUN,1.0,3
EVAR|HEVA,F,EVA,160617,422,161039,161131,EVA,0.9973795167630202,3
EVER|HEVER,F,EVE,242,27,269,678,EVER,0.8996282527881041,3
EVIR|EVY,F,EVI,186,93,279,356,EVI,0.6666666666666666,3
,M,EVO,,47,47,47,EVO,1.0,3
EVI|EVIR,F,EVY,49,,49,356,EVI,1.0,3
,F,EWA,24,,24,24,EWA,1.0,3
ESA,F,EZA,161,,161,187,EZA,1.0,3
ESI|ESIR|ESY|EZEIR|EZIR|EZY|HEZIR,F,EZI,259,99,358,963,EZIR,0.723463687150838,3
ESO|HEZO,M,EZO,,165,165,230,EZO,1.0,3
ESI|ESIR|ESY|EZEIR|EZI|EZIR|HEZIR,F,EZY,33,,33,963,EZIR,1.0,3
,M,FAN,33,35,68,68,FAN,0.5147058823529411,3
,M,FCO,70,10009,10079,10079,FCO,0.9930548665542216,3
,M,FRA,108,193,301,301,FRA,0.6411960132890365,3
GAEL|GAIL|GEEL|GEIEL|GEIL|GEL|GIEL|GIL|GOEL|GUEL|GUIL|JAEL|JAIL|JAL|JAUL|JEEL|JEIEL|JEIL|JEL|JEUEL|JEYEL|JHOL|JIEL|JIL|JOAEL|JOAL|JOEL|JOIEL|JOIL|JOL|JUEL,F,GAL,111,24,135,159398,JOEL,0.8222222222222222,3
GEIR|GEY|GI|GUI|GUY|JEI|JEIR|JI|JIR|JUI|JUIR,M,GEI,,44,44,1114,GUY,1.0,3
GAEL|GAIL|GAL|GEEL|GEIEL|GEIL|GIEL|GIL|GOEL|GUEL|GUIL|JAEL|JAIL|JAL|JAUL|JEEL|JEIEL|JEIL|JEL|JEUEL|JEYEL|JHOL|JIEL|JIL|JOAEL|JOAL|JOEL|JOIEL|JOIL|JOL|JUEL,M,GEL,34,155,189,159398,JOEL,0.8201058201058201,3
JAEN|JEN,M,GEN,,70,70,219,JEN,1.0,3
JEO,M,GEO,23,111,134,167,GEO,0.8283582089552238,3
JEHU|JEU,M,GEU,,146,146,451,JEU,1.0,3
GAIR|GUIA|JAHIR|JAHY|JAHYR|JAI|JAIR|JAUIR|JAY|JAYR|JHAIR|JIA|JUIA,M,GIA,,33,33,153936,JAIR,1.0,3
GAEL|GAIL|GAL|GEEL|GEIEL|GEIL|GEL|GIEL|GOEL|GUEL|GUIL|JAEL|JAIL|JAL|JAUL|JEEL|JEIEL|JEIL|JEL|JEUEL|JEYEL|JHOL|JIEL|JIL|JOAEL|JOAL|JOEL|JOIEL|JOIL|JOL|JUEL,M,GIL,516,9158,9674,159398,JOEL,0.946661153607608,3
GIN|JIM|JIN,M,GIM,,33,33,559,JIN,1.0,3
GIM|JIM|JIN,M,GIN,,28,28,559,JIN,1.0,3
GEI|GEIR|GEY|GI|GUY|JEI|JEIR|JI|JIR|JUI|JUIR,M,GUI,22,230,252,1114,GUY,0.9126984126984127,3
GO|GOR|HGOR|JHO|JO|JOH|JOR|JUHO,M,GUO,,23,23,302,JOH,1.0,3
GEI|GEIR|GEY|GI|GUI|JEI|JEIR|JI|JIR|JUI|JUIR,M,GUY,,412,412,1114,GUY,1.0,3
AE|ER|HE,F,HAE,59,,59,59,HAE,1.0,3
AHIR|AI|AIR|AYR|HAIR|HAY|IA|IAR|YA,M,HAI,,24,24,1577,AIR,1.0,3
EB|ED|EDR|HED,F,HEB,23,,23,120,HED,1.0,3
EB|ED|EDR|HEB,M,HED,21,47,68,120,HED,0.6911764705882353,3
SOU|SU|ZHOU|ZHU|ZOU|ZU,M,HSU,47,73,120,416,ZHU,0.6083333333333333,3
EI|HI|IR|UI|YI|YUI,M,HUI,22,23,45,65,HUI,0.5111111111111111,3
IE|YAE|YE|YEH,F,HYE,55,,55,121,HYE,1.0,3
HAIM|HIAM|HIAN|HIANN|HYAM|HYAN|HYANN|IAN|IANN|IHAN|IYAN|UIAN|YAHN|YAM|YAN|YANN|YHAN|YHANN,M,IAM,35,1751,1786,70388,IAN,0.9804031354983203,3
HAIM|HIAM|HIAN|HIANN|HYAM|HYAN|HYANN|IAM|IANN|IHAN|IYAN|UIAN|YAHN|YAM|YAN|YANN|YHAN|YHANN,M,IAN,455,35601,36056,70388,IAN,0.9873807410694475,3
EIDA|HEIDA|HIBA|HIDA|IBAR|IDA|IDAR|UEIDA,M,IBA,,40,40,12560,IDA,1.0,3
EICA|EIKA|IKA,F,ICA,55,23,78,220,ICA,0.7051282051282052,3
EIDA|HEIDA|HIBA|HIDA|IBA|IBAR|IDAR|UEIDA,F,IDA,11784,42,11826,12560,IDA,0.9964485032978183,3
EIDE|EIDER|EYDE|EYDER|HEIBER|HEIDE|HEIDER|HEYDE|HEYDER|HIDE|HIDER|HYDE|IBE|IBER|IDER|IEIDE|UEIDE|UEIDER|UIDE|UIDER,F,IDE,2004,154,2158,9425,IDE,0.9286376274328082,3
EIDI|EIDIR|EIDY|EYDI|HEIDI|HEIDY|HEYDI|HEYDY|HIDI|IBI|IDEI|IDEIR|IDIR|IDUIR|IDY,F,IDI,138,63,201,3455,HEIDI,0.6865671641791045,3
HIDO|IDOR,M,IDO,,634,634,703,IDO,1.0,3
,M,IDU,,35,35,35,IDU,1.0,3
AEL|AIL|AL|EL|HIEL|HIL|HOEL|IL|OEL|UEL|UIL|YAEL|YUL,M,IEL,,50,50,476,YAEL,1.0,3
EIGO|EIGOR|HEIGO|HIGO|HIGOR|HUIGO|HUIGOR|HYGO|HYGOR|IGHOR|IGOR|IGUOR|IIGOR|UIGO|UIGOR|YGHOR|YGO|YGOR|YIGOR,M,IGO,80,10245,10325,315935,IGOR,0.9922518159806295,3
EICA|EIKA|ICA,F,IKA,26,,26,220,ICA,1.0,3
AILA|AILHA|AIULA|ALA|ALAA|ALAR|ALHA|AULA|AYALA|AYLA|EILA|ELA|ELAR|ELHA|EOLA|EULA|EULAR|EYLA|HAILA|HALA|HAYALA|HAYLA|HEILA|HELA|HELHA|HEULA|HEYLA|HIALA|HILA|HIULA|HUILHA|HYLA|IAILA|IALA|IELA|ILAR|ILHA|IOLA|IOLAR|IULA|LA|LAR|OLA|OLAR|UAILA|UALA|UEILA|UILA|UILHA|ULA|YALA|YLA|YOLA|YULA,F,ILA,1570,60,1630,23950,AILA,0.9631901840490797,3
AELE|AILE|ALAER|ALE|ALER|AULER|AYLE|EILER|ELE|ELER|EULE|EULER|EULHER|HAILE|HALE|HEILER|HELE|HELER|HEULER|HIALE|HILER|HULE|IALE|IELE|ILER|IOLE|IULE|LAE|LAER|LE|OLE|UELE|UELER|UEULER|UILE|UILER|ULE|YALE|YOLE|YULE,F,ILE,116,27,143,12371,EULER,0.8111888111888111,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,F,ILI,121,58,179,70523,ELI,0.6759776536312849,3
AILO|AILOR|ALO|ALOR|AULO|ELHO|ELO|ELOH|ELOR|EOLO|EULO|HELHO|HELO|HELUO|HILO|IALO|ILHO|ILOR|IULO|LO|LOR|LUO|OAULO|UELHO|UILO|ULO|YULO,M,ILO,,1016,1016,4873,ELHO,1.0,3
EIMAR|EYMAR|HEIMAR|IMAR|UIMA,F,IMA,128,27,155,1151,IMAR,0.8258064516129032,3
EIME|IMER,F,IME,47,,47,153,IMER,1.0,3
,M,IMO,,40,40,40,IMO,1.0,3
EINA|EINAR|HEINA|HINA|INAH|INAR|INHA|INNA|UINA|YNA,F,INA,3319,42,3361,4857,INA,0.9875037191312109,3
YING,F,ING,62,,62,111,ING,1.0,3
EINI|EINIR|EINY|HEINI|INEI|INEIR|INEY|INIR|INY|UINI|UINY,F,INI,246,,246,778,INI,1.0,3
HEINO|HINO|INOR,M,INO,,84,84,196,INO,1.0,3
,M,ION,,159,159,159,ION,1.0,3
EIRA|HIRA|UIRA|UYRA|YRA,M,IRA,652,937,1589,1989,IRA,0.5896790434235368,3
EIRE|EYRE|IRAE,F,IRE,96,43,139,399,IRAE,0.6906474820143885,3
EIRI|IREI|IYRI|UIRI|YIRI|YRI|YUIRI,M,IRI,115,116,231,458,IRI,0.5021645021645021,3
HIRO,M,IRO,38,191,229,366,IRO,0.834061135371179,3
